citing_doi,arxiv_id,source,doi_asserted_by,crossref_found,crossref_has_references,crossref_structured_doi_match,crossref_unstructured_match,crossref_reference_key,crossref_error,openalex_citing_found,openalex_arxiv_in_refs,openalex_arxiv_work_id,openalex_error,datacite_event_found,datacite_total_events,datacite_error,opencitations_citing_found,opencitations_arxiv_in_refs,opencitations_oci,opencitations_error,notes
10.1007/s42484-021-00051-z,1412.6980,mined,,True,True,False,True,51_CR17,,False,False,https://openalex.org/W1522301498,citing_not_found,False,,skipped,False,False,,skipped,
10.3103/s0146411622030063,1412.6980,mined,,True,True,False,True,7485_CR18,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1080/01431161.2023.2176721,1412.6980,mined,,True,True,False,True,cit0023,,False,False,https://openalex.org/W1522301498,citing_not_found,False,,skipped,False,False,,skipped,
10.1007/978-3-030-20876-9_30,1412.6980,mined,,True,True,False,True,30_CR23,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/mwscas53549.2025.11244593,1706.03762,asserted,publisher,True,True,True,False,ref20,,True,False,,,False,,skipped,False,False,,skipped,
10.1063/5.0213138,1706.03762,asserted,publisher,True,True,True,False,2024043011562815400_c45,,True,False,,,False,,skipped,False,False,,skipped,
10.1007/s12539-025-00780-w,1706.03762,asserted,publisher,True,True,True,False,780_CR15,,True,False,,,False,,skipped,False,False,,skipped,
10.1145/3604915.3608795,1412.6980,mined,,True,True,False,True,e_1_3_2_1_12_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/seai65851.2025.11108780,1706.03762,asserted,publisher,True,True,True,False,ref6,,True,False,,,False,,skipped,False,False,,skipped,
10.1007/s11704-020-0192-9,1412.6980,mined,,True,True,False,True,192_CR48,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/ijcb62174.2024.10744523,1706.03762,asserted,publisher,True,True,True,False,ref42,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/tgrs.2023.3262262,1412.6980,mined,,True,True,False,True,ref30,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tpami.2024.3462996,1706.03762,asserted,publisher,True,True,True,False,ref36,,True,False,,,False,,skipped,False,False,,skipped,
10.1038/s42256-023-00622-8,1412.6980,mined,,True,True,False,True,622_CR40,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-43520-1_23,1412.6980,mined,,True,True,False,True,23_CR26,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1101/2023.03.28.534642,1412.6980,mined,,True,True,False,True,2023040102500413000_2023.03.28.534642v1.60,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-40177-0_26,1412.6980,mined,,True,True,False,True,26_CR11,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/iaecst60924.2023.10502705,1706.03762,asserted,publisher,True,True,True,False,ref10,,True,False,,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-65414-6_13,1412.6980,mined,,True,True,False,True,13_CR13,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/icdm54844.2022.00018,1706.03762,asserted,publisher,True,True,True,False,ref20,,True,False,,,False,,skipped,False,False,,skipped,
10.1186/s40561-024-00316-7,1706.03762,asserted,publisher,True,True,True,False,316_CR108,,True,False,,,False,,skipped,False,False,,skipped,
10.1145/3665026.3665049,1412.6980,mined,,True,True,False,True,e_1_3_2_1_11_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/ijcnn64981.2025.11227877,1706.03762,asserted,publisher,True,True,True,False,ref8,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/jstars.2025.3526336,1706.03762,asserted,publisher,True,True,True,False,ref52,,True,False,,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-69750-0_14,1412.6980,mined,,True,True,False,True,14_CR27,,False,False,https://openalex.org/W1522301498,citing_not_found,False,,skipped,False,False,,skipped,
10.1109/jstars.2025.3617146,1706.03762,asserted,publisher,True,True,True,False,ref30,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/tevc.2025.3535954,1412.6980,mined,,True,True,False,True,ref47,,False,False,https://openalex.org/W1522301498,citing_not_found,False,,skipped,False,False,,skipped,
10.1145/3686490.3686513,1412.6980,mined,,True,True,False,True,e_1_3_2_1_51_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.3103/s0146411623050061,1409.1556,asserted,publisher,True,True,True,False,7606_CR18,,True,False,https://openalex.org/W1686810756,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-43901-8_64,1412.6980,mined,,True,True,False,True,64_CR8,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1080/21681163.2023.2238846,1412.6980,mined,,True,True,False,True,e_1_3_2_28_1,,False,False,https://openalex.org/W1522301498,citing_not_found,False,,skipped,False,False,,skipped,
10.1007/978-3-030-16145-3_16,1412.6980,mined,,True,True,False,True,16_CR12,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tpami.2021.3061456,1412.6980,mined,,True,True,False,True,ref39,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1021/acs.jcim.4c01097,1412.6980,asserted,publisher,True,True,True,False,ref52/cit52,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-22941-1_29,1412.6980,mined,,True,True,False,True,29_CR21,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1186/s13321-022-00659-8,1706.03762,asserted,publisher,True,True,True,False,659_CR41,,False,False,,citing_not_found,False,,skipped,False,False,,skipped,
10.1007/s40314-022-02180-y,1412.6980,mined,,True,True,False,True,2180_CR21,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.34133/plantphenomics.0100,1412.6980,mined,,True,True,False,True,10.34133/plantphenomics.0100_bib47,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/icctdc64446.2025.11158728,1706.03762,asserted,publisher,True,True,True,False,ref2,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/bigdata62323.2024.10825137,1706.03762,asserted,publisher,True,True,True,False,ref9,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/tifs.2023.3326667,1706.03762,asserted,publisher,True,True,True,False,ref15,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/mm.2024.3420728,1706.03762,asserted,publisher,True,True,True,False,ref1,,True,False,,,False,,skipped,False,False,,skipped,
10.1007/s10107-025-02290-5,1412.6980,mined,,True,True,False,True,2290_CR8,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1364/oe.535211,1706.03762,asserted,publisher,True,True,True,False,oe-32-19-33917-R27,,False,False,,citing_not_found,False,,skipped,False,False,,skipped,
10.1109/tmi.2025.3541433,1706.03762,asserted,publisher,True,True,True,False,ref4,,True,False,,,False,,skipped,False,False,,skipped,
10.1016/j.neucom.2020.09.029,1412.6980,mined,,True,True,False,True,10.1016/j.neucom.2020.09.029_b0040,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tifs.2025.3576576,1706.03762,asserted,publisher,True,True,True,False,ref43,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/tgrs.2025.3610428,1706.03762,asserted,publisher,True,True,True,False,ref20,,True,False,,,False,,skipped,False,False,,skipped,
10.1145/3649310,1412.6980,mined,,True,True,False,True,e_1_3_4_20_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/swc57546.2023.10449332,1706.03762,asserted,publisher,True,True,True,False,ref14,,True,False,,,False,,skipped,False,False,,skipped,
10.1364/oe.507252,1409.1556,asserted,publisher,True,True,True,False,oe-32-4-5131-R31,,True,False,https://openalex.org/W1686810756,,False,,skipped,False,False,,skipped,
10.1109/tim.2024.3417538,1412.6980,mined,,True,True,False,True,ref52,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/ainit65432.2025.11035060,1706.03762,asserted,publisher,True,True,True,False,ref14,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/tgrs.2024.3359676,1706.03762,asserted,publisher,True,True,True,False,ref58,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/access.2025.3559662,1706.03762,asserted,publisher,True,True,True,False,ref38,,True,False,,,False,,skipped,False,False,,skipped,
10.1145/3464384,1412.6980,mined,,True,True,False,True,e_1_2_1_17_1,,False,False,https://openalex.org/W1522301498,citing_not_found,False,,skipped,False,False,,skipped,
10.1016/j.vibspec.2025.103826,1412.6980,mined,,True,True,False,True,10.1016/j.vibspec.2025.103826_bib31,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1186/s12879-024-10183-9,1412.6980,mined,,True,True,False,True,10183_CR34,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tgrs.2025.3552304,1706.03762,asserted,publisher,True,True,True,False,ref49,,True,False,,,False,,skipped,False,False,,skipped,
10.1016/j.bspc.2022.104348,1412.6980,mined,,True,True,False,True,10.1016/j.bspc.2022.104348_b0140,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-20868-3_37,1412.6980,mined,,True,True,False,True,37_CR13,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/icece57408.2022.10088574,1706.03762,asserted,publisher,True,True,True,False,ref13,,False,False,,citing_not_found,False,,skipped,False,False,,skipped,
10.1080/09540091.2022.2151977,1412.6980,mined,,True,True,False,True,CIT0014,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1038/s41598-023-46626-7,1412.6980,asserted,publisher,True,True,True,False,46626_CR53,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/amlds63918.2025.11159440,1706.03762,asserted,publisher,True,True,True,False,ref15,,True,False,,,False,,skipped,False,False,,skipped,
10.1098/rsta.2024.0215,1412.6980,mined,,True,True,False,True,e_1_3_8_50_2,,False,False,https://openalex.org/W1522301498,citing_not_found,False,,skipped,False,False,,skipped,
10.1109/appeec61255.2024.10922501,1706.03762,asserted,publisher,True,True,True,False,ref18,,True,False,,,False,,skipped,False,False,,skipped,
10.1109/tits.2024.3421328,1706.03762,asserted,publisher,True,True,True,False,ref43,,True,False,,,False,,skipped,False,False,,skipped,
